LitterRef	Weight	MotherID	DateOfBirth	flag	Number_total	BodyLength
337	6	G1F006	6/18/17	0	7	18.6
109	NA	G1F006	4/20/15	0	6	18
485	2	G1F006	2/21/19	0	6	18.5
55	10	G1F010	8/19/14	0	8	19.45
55	11	G1F010	8/19/14	0	8	19.45
55	9	G1F010	8/19/14	0	8	19.45
77	10	G1F010	12/2/14	0	9	19.45
77	10	G1F010	12/2/14	0	9	19.45
77	11	G1F010	12/2/14	0	9	19.45
123	11	G1F010	7/11/15	0	6	19.1
123	10	G1F010	7/11/15	0	6	19.1
180	11	G1F010	2/22/16	0	6	19.5
211	9	G1F010	6/9/16	0	9	19.15
211	9	G1F010	6/9/16	0	9	19.15
239	9	G1F010	9/27/16	0	9	19.5
239	9	G1F010	9/27/16	0	9	19.5
239	12	G1F010	9/27/16	0	9	19.5
239	10	G1F010	9/27/16	0	9	19.5
322	8	G1F010	4/30/17	0	8	20
322	8	G1F010	4/30/17	0	8	20
348	9	G1F010	8/22/17	0	7	19.85
386	9	G1F010	12/7/17	0	8	19.85
464	9	G1F010	10/31/18	0	9	19.35
464	8	G1F010	10/31/18	0	9	19.35
486	9	G1F010	2/24/19	0	7	19.6
55	7	G1F010	8/19/14	0	8	19.45
77	11	G1F010	12/2/14	0	9	19.45
77	10	G1F010	12/2/14	0	9	19.45
102	13	G1F010	3/30/15	0	5	19.45
180	13	G1F010	2/22/16	0	6	19.5
211	9	G1F010	6/9/16	0	9	19.15
211	9	G1F010	6/9/16	0	9	19.15
211	9	G1F010	6/9/16	0	9	19.15
322	9	G1F010	4/30/17	0	8	20
322	9	G1F010	4/30/17	0	8	20
348	12	G1F010	8/22/17	0	7	19.85
348	10	G1F010	8/22/17	0	7	19.85
386	10	G1F010	12/7/17	0	8	19.85
386	11	G1F010	12/7/17	0	8	19.85
386	12	G1F010	12/7/17	0	8	19.85
464	10	G1F010	10/31/18	0	9	19.35
464	7	G1F010	10/31/18	0	9	19.35
464	11	G1F010	10/31/18	0	9	19.35
486	10	G1F010	2/24/19	0	7	19.6
101	8	G1F012	3/24/15	0	8	19.3
101	10	G1F012	3/24/15	0	8	19.3
101	8	G1F012	3/24/15	0	8	19.3
167	10	G1F012	1/4/16	0	6	19.15
278	10	G1F012	1/8/17	0	7	19.4
101	9	G1F012	3/24/15	0	8	19.3
167	11	G1F012	1/4/16	0	6	19.15
199	9	G1F012	4/25/16	0	7	19.15
199	10	G1F012	4/25/16	0	7	19.15
199	12	G1F012	4/25/16	0	7	19.15
278	10	G1F012	1/8/17	0	7	19.4
278	9	G1F012	1/8/17	0	7	19.4
33	10	G1F013	5/13/14	0	8	21
33	10	G1F013	5/13/14	0	8	21
33	10	G1F013	5/13/14	0	8	21
33	12	G1F013	5/13/14	0	8	21
288	9	G2F001	2/3/17	1	7	18.5
288	9	G2F001	2/3/17	1	7	18.5
34	10	G3F002	5/14/14	0	6	18.25
66	11	G3F002	10/3/14	0	7	18.85
112	7	G3F002	5/10/15	0	6	18.6
197	8	G3F002	4/14/16	0	9	19
197	8	G3F002	4/14/16	0	9	19
226	10	G3F002	8/11/16	0	9	18.55
226	10	G3F002	8/11/16	0	9	18.55
226	7	G3F002	8/11/16	0	9	18.55
277	7	G3F002	1/7/17	0	8	18.5
318	9	G3F002	4/24/17	0	8	18.9
318	8	G3F002	4/24/17	0	8	18.9
318	9	G3F002	4/24/17	0	8	18.9
350	9	G3F002	8/29/17	0	7	19.1
350	9	G3F002	8/29/17	0	7	19.1
387	10	G3F002	12/20/17	0	9	19.1
387	8	G3F002	12/20/17	0	9	19.1
387	7	G3F002	12/20/17	0	9	19.1
387	10	G3F002	12/20/17	0	9	19.1
420	9	G3F002	4/23/18	0	6	19.1
473	10	G3F002	12/9/18	0	6	19.05
1	11	G3F002	10/13/13	1	6	17.95
1	10	G3F002	10/13/13	1	6	17.95
34	10	G3F002	5/14/14	0	6	18.25
66	11	G3F002	10/3/14	0	7	18.85
89	10	G3F002	1/20/15	0	7	18.85
89	10	G3F002	1/20/15	0	7	18.85
89	9	G3F002	1/20/15	0	7	18.85
112	9	G3F002	5/10/15	0	6	18.6
163	10	G3F002	12/27/15	0	6	18.95
163	9	G3F002	12/27/15	0	6	18.95
197	8	G3F002	4/14/16	0	9	19
197	10	G3F002	4/14/16	0	9	19
197	8	G3F002	4/14/16	0	9	19
226	9	G3F002	8/11/16	0	9	18.55
277	9	G3F002	1/7/17	0	8	18.5
277	12	G3F002	1/7/17	0	8	18.5
318	11	G3F002	4/24/17	0	8	18.9
350	11	G3F002	8/29/17	0	7	19.1
387	10	G3F002	12/20/17	0	9	19.1
420	9	G3F002	4/23/18	0	6	19.1
473	11	G3F002	12/9/18	0	6	19.05
473	8	G3F002	12/9/18	0	6	19.05
9	9	G3F009	12/17/13	1	7	19.35
49	12	G3F009	7/27/14	0	6	19.1
49	11	G3F009	7/27/14	0	6	19.1
